rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w;g1f3
r1bqkb1r/pppn1ppp/4pn2/3p4/2P5/4PN1P/PPQP1PP1/RNB1KB1R b;b7b6
r1bqkb1r/pppn1ppp/4pn2/3p4/2P5/P3PN1P/1P1P1PP1/RNBQKB1R b;c7c5
r1bqkb1r/pppn1ppp/4pn2/3p4/2P5/2N1PN1P/PP1P1PP1/R1BQKB1R b;f8d6
r1bqkb1r/pppn1ppp/4pn2/3p4/2P5/3PPN1P/PP3PP1/RNBQKB1R b;f8e7
r1bqkb1r/pppn1ppp/4pn2/3p4/2P5/4PN1P/PP1PBPP1/RNBQK2R b;a7a6
r1bqkb1r/pppn1ppp/4pn2/3p4/2P5/1P2PN1P/P2P1PP1/RNBQKB1R b;f8d6
r1bqkb1r/pppn1ppp/4pn2/3p4/P1P5/4PN1P/1P1P1PP1/RNBQKB1R b;e6e5
r1bqkb1r/pppn1ppp/4pn2/3p4/Q1P5/4PN1P/PP1P1PP1/RNB1KB1R b;f8d6
r1bqkb1r/pppn1ppp/4pn2/3P4/8/4PN1P/PP1P1PP1/RNBQKB1R b;e6d5
rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/5N1P/PP2PPP1/RNBQKB1R b;d5c4
rnbqkb1r/ppp2ppp/4pn2/8/2pP4/5N1P/PP2PPP1/RNBQKB1R w;e2e3
rnbqkb1r/ppp2ppp/4pn2/8/2pP4/4PN1P/PP3PP1/RNBQKB1R b;b7b5
rnbqkb1r/ppp2ppp/4pn2/8/2pP4/2N2N1P/PP2PPP1/R1BQKB1R b;a7a6
rnbqkb1r/ppp2ppp/4pn2/8/2pP4/5N1P/PP1NPPP1/R1BQKB1R b;b7b5
rnbqkb1r/ppp2ppp/4pn2/8/Q1pP4/5N1P/PP2PPP1/RNB1KB1R b;f6d7
rnbqkb1r/ppp2ppp/4pn2/8/P1pP4/5N1P/1P2PPP1/RNBQKB1R b;a7a5
rnbqkb1r/ppp2ppp/4pn2/8/2pP4/P4N1P/1P2PPP1/RNBQKB1R b;b7b5
rnbqkb1r/ppp2ppp/4pn2/8/2pP1B2/5N1P/PP2PPP1/RN1QKB1R b;b7b5
rnbqkb1r/ppp2ppp/4pn2/8/2pP4/5N1P/PP1BPPP1/RN1QKB1R b;c8d7
rnbqkb1r/ppp2ppp/4pn2/8/2pP4/5N1P/PPQ1PPP1/RNB1KB1R b;b7b5
rnbqkb1r/ppp2ppp/4pn2/6B1/2pP4/5N1P/PP2PPP1/RN1QKB1R b;b7b5
rnbqk2r/ppp1bppp/4pn2/3p4/2PP4/5N1P/PP2PPP1/RNBQKB1R w;e2e3
rnbqk2r/ppp1bppp/4pn2/3p4/2PP4/4PN1P/PP3PP1/RNBQKB1R b;c7c6
rnbqk2r/ppp1bppp/4pn2/3P4/3P4/5N1P/PP2PPP1/RNBQKB1R b;e6d5
rnbqk2r/ppp1bppp/4pn2/3p4/2PP4/2N2N1P/PP2PPP1/R1BQKB1R b;e8g8
rnbqk2r/ppp1bppp/4pn2/3p4/2PP1B2/5N1P/PP2PPP1/RN1QKB1R b;d5c4
rnbqk2r/ppp1bppp/4pn2/3p4/2PP4/5NPP/PP2PP2/RNBQKB1R b;h7h6
rnbqk2r/ppp1bppp/4pn2/2Pp4/3P4/5N1P/PP2PPP1/RNBQKB1R b;b7b6
rnbqk2r/ppp1bppp/4pn2/3p4/2PP4/P4N1P/1P2PPP1/RNBQKB1R b;e8g8
rnbqk2r/ppp1bppp/4pn2/3p4/2PP4/5N1P/PP1NPPP1/R1BQKB1R b;b8d7
rnbqk2r/ppp1bppp/4pn2/3p4/2PP4/1Q3N1P/PP2PPP1/RNB1KB1R b;e8g8
rnbqk2r/ppp1bppp/4pn2/3p4/2PP4/5N1P/PPQ1PPP1/RNB1KB1R b;c7c5
r1bqkb1r/pppn1ppp/4pn2/3p4/2PP4/5N1P/PP2PPP1/RNBQKB1R w;b1c3
r1bqkb1r/pppn1ppp/4pn2/3p4/2PP4/2N2N1P/PP2PPP1/R1BQKB1R b;c7c6
r1bqkb1r/pppn1ppp/4pn2/3p4/2PP4/4PN1P/PP3PP1/RNBQKB1R b;c7c6
r1bqkb1r/pppn1ppp/4pn2/3P4/3P4/5N1P/PP2PPP1/RNBQKB1R b;e6d5
r1bqkb1r/pppn1ppp/4pn2/3p4/2PP4/5N1P/PPQ1PPP1/RNB1KB1R b;d5c4
r1bqkb1r/pppn1ppp/4pn2/3p4/2PP4/5N1P/PP1NPPP1/R1BQKB1R b;a7a5
r1bqkb1r/pppn1ppp/4pn2/3p4/Q1PP4/5N1P/PP2PPP1/RNB1KB1R b;c7c6
r1bqkb1r/pppn1ppp/4pn2/3p4/2PP4/3Q1N1P/PP2PPP1/RNB1KB1R b;d5c4
r1bqkb1r/pppn1ppp/4pn2/3p4/2PP4/5NPP/PP2PP2/RNBQKB1R b;b7b6
r1bqkb1r/pppn1ppp/4pn2/3p4/2PP4/1P3N1P/P3PPP1/RNBQKB1R b;f6e4
r1bqkb1r/pppn1ppp/4pn2/3p4/2PP4/1Q3N1P/PP2PPP1/RNB1KB1R b;d5c4
rnbqkb1r/pp3ppp/2p1pn2/3p4/2PP4/5N1P/PP2PPP1/RNBQKB1R w;e2e3
rnbqkb1r/pp3ppp/2p1pn2/3p4/2PP4/4PN1P/PP3PP1/RNBQKB1R b;b8d7
rnbqkb1r/pp3ppp/2p1pn2/3p4/2PP1B2/5N1P/PP2PPP1/RN1QKB1R b;a7a5
rnbqkb1r/pp3ppp/2p1pn2/3p4/2PP4/5N1P/PP1NPPP1/R1BQKB1R b;b7b6
rnbqkb1r/pp3ppp/2p1pn2/3p4/2PP4/2N2N1P/PP2PPP1/R1BQKB1R b;d5c4
rnbqkb1r/pp3ppp/2p1pn2/3p2B1/2PP4/5N1P/PP2PPP1/RN1QKB1R b;d5c4
rnbqkb1r/pp3ppp/2p1pn2/3p4/2PP4/5N1P/PPQ1PPP1/RNB1KB1R b;a7a5
rnbqkb1r/pp3ppp/2p1pn2/3p4/2PP4/P4N1P/1P2PPP1/RNBQKB1R b;d5c4
rnbqkb1r/pp3ppp/2p1pn2/3p4/2PP4/1P3N1P/P3PPP1/RNBQKB1R b;c6c5
rnbqkb1r/pp3ppp/2p1pn2/3p4/2PP4/1Q3N1P/PP2PPP1/RNB1KB1R b;f6e4
rnbqkb1r/pp3ppp/2p1pn2/3P4/3P4/5N1P/PP2PPP1/RNBQKB1R b;e6d5
rnbqk2r/ppp2ppp/3bpn2/3p4/2PP4/5N1P/PP2PPP1/RNBQKB1R w;c4c5
rnbqk2r/ppp2ppp/3bpn2/2Pp4/3P4/5N1P/PP2PPP1/RNBQKB1R b;d6e7
rnbqk2r/ppp2ppp/3bpn2/3p2B1/2PP4/5N1P/PP2PPP1/RN1QKB1R b;d5c4
rnbqk2r/ppp2ppp/3bpn2/3p4/2PP4/5NPP/PP2PP2/RNBQKB1R b;b8c6
rnbqk2r/ppp2ppp/3bpn2/3p4/2PP4/5N1P/PPQ1PPP1/RNB1KB1R b;b8c6
rnbqk2r/ppp2ppp/3bpn2/3P4/3P4/5N1P/PP2PPP1/RNBQKB1R b;e6d5
rnbqk2r/ppp2ppp/3bpn2/3p4/2PP4/4PN1P/PP3PP1/RNBQKB1R b;b8c6
rnbqk2r/ppp2ppp/3bpn2/3p4/2PP4/5N1P/PP1NPPP1/R1BQKB1R b;a7a5
rnbqk2r/ppp2ppp/3bpn2/3p4/2PP4/P4N1P/1P2PPP1/RNBQKB1R b;d5c4
rnbqk2r/ppp2ppp/3bpn2/3p4/2PP4/5N1P/PP1BPPP1/RN1QKB1R b;d5c4
rnbqk2r/ppp2ppp/3bpn2/3p4/2PP4/1P3N1P/P3PPP1/RNBQKB1R b;c7c5
rnbqkb1r/ppp2pp1/4pn1p/3p4/2PP4/5N1P/PP2PPP1/RNBQKB1R w;c1f4
rnbqkb1r/ppp2pp1/4pn1p/3p4/2PP1B2/5N1P/PP2PPP1/RN1QKB1R b;c7c5
rnbqkb1r/ppp2pp1/4pn1p/3P4/3P4/5N1P/PP2PPP1/RNBQKB1R b;e6d5
rnbqkb1r/ppp2pp1/4pn1p/2Pp4/3P4/5N1P/PP2PPP1/RNBQKB1R b;b7b6
rnbqkb1r/ppp2pp1/4pn1p/3p4/2PP4/4PN1P/PP3PP1/RNBQKB1R b;a7a5
rnbqkb1r/ppp2pp1/4pn1p/3p4/2PP4/2N2N1P/PP2PPP1/R1BQKB1R b;b8c6
rnbqkb1r/ppp2pp1/4pn1p/3pN3/2PP4/7P/PP2PPP1/RNBQKB1R b;c7c5
rnbqkb1r/ppp2pp1/4pn1p/3p4/2PP4/5N1P/PP1NPPP1/R1BQKB1R b;d5c4
rnbqkb1r/ppp2pp1/4pn1p/3p4/2PP4/5N1P/PP1BPPP1/RN1QKB1R b;d5c4
rnbqkb1r/ppp2pp1/4pn1p/3p4/2PP4/P4N1P/1P2PPP1/RNBQKB1R b;d5c4
rnbqkb1r/ppp2pp1/4pn1p/3p4/2PP4/5N1P/PPQ1PPP1/RNB1KB1R b;c7c5
rnbqkb1r/ppp2ppp/4p3/3p4/2PPn3/5N1P/PP2PPP1/RNBQKB1R w;b1c3
rnbqkb1r/ppp2ppp/4p3/3p4/2PPn3/2N2N1P/PP2PPP1/R1BQKB1R b;c7c5
rnbqkb1r/ppp2ppp/4p3/3p4/2PPn3/4PN1P/PP3PP1/RNBQKB1R b;b7b6
rnbqkb1r/ppp2ppp/4p3/3p4/2PPn3/P4N1P/1P2PPP1/RNBQKB1R b;c7c5
rnbqkb1r/ppp2ppp/4p3/3p4/2PPn3/7P/PP1NPPP1/RNBQKB1R b;e4d2
rnbqkb1r/ppp2ppp/4p3/3p4/2PPn3/5N1P/PP1NPPP1/R1BQKB1R b;f8e7
rnbqkb1r/ppp2ppp/4p3/3p4/2PPnB2/5N1P/PP2PPP1/RN1QKB1R b;g7g5
